,city,name,user_reviews,url,description,hotel_gps,lat,lon
0,Aix-en-Provence,B&B Villa Roumanille,9.3,https://www.booking.com/hotel/fr/villa-roumanille.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCFnNlYXJjaF9haXgtZW4tcHJvdmVuY2VICVgEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Av_d7LMGwAIB0gIkNjA5NDhjZDUtODU3Yy00ZmI4LTg3NGYtYjM4OTAzZDU4YWVh2AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=98f9933fcabd0312&srepoch=1719348992&from_sustainable_property_sr=1&from=searchresults,"Located just 1 km from the centre of Aix-en-Provence, Villa Roumanille is a typical Provençal house, which offers a garden and terrace. Cassis and its cliffs are a 30-minute drive away. ","43.51783611,5.44283509",43.51783611,5.44283509
1,"Aix-en-Provence Historic Centre, Aix-en-Provence",Aquabella Hôtel & Spa,8.6,https://www.booking.com/hotel/fr/hotel-aquabella.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCFnNlYXJjaF9haXgtZW4tcHJvdmVuY2VICVgEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Av_d7LMGwAIB0gIkNjA5NDhjZDUtODU3Yy00ZmI4LTg3NGYtYjM4OTAzZDU4YWVh2AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=98f9933fcabd0312&srepoch=1719348992&from_sustainable_property_sr=1&from=searchresults,"Surrounded by a beautiful garden, Aquabella offers Provencal-style rooms and guests have free access to the spa. It is located in central Aix-en-Provence, a short walk from the old town. ","43.53126360,5.44507004",43.5312636,5.44507004
2,"Aix-en-Provence Historic Centre, Aix-en-Provence",Hôtel des Augustins,8.1,https://www.booking.com/hotel/fr/les-augustins.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCFnNlYXJjaF9haXgtZW4tcHJvdmVuY2VICVgEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Av_d7LMGwAIB0gIkNjA5NDhjZDUtODU3Yy00ZmI4LTg3NGYtYjM4OTAzZDU4YWVh2AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=98f9933fcabd0312&srepoch=1719348992&from=searchresults,"Located just of the famous Cours Mirabeau in the heart of the old town of Aix-en-Provence, Hotel Les Augustins is set within the walls of a 12th-century convent. ","43.52688664,5.44727147",43.52688664,5.44727147
3,Aix-en-Provence,Hôtel Le Mozart,8.4,https://www.booking.com/hotel/fr/le-mozart.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCFnNlYXJjaF9haXgtZW4tcHJvdmVuY2VICVgEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Av_d7LMGwAIB0gIkNjA5NDhjZDUtODU3Yy00ZmI4LTg3NGYtYjM4OTAzZDU4YWVh2AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=98f9933fcabd0312&srepoch=1719348992&from=searchresults,"Located 500 metres from the Granet Museum, Hôtel Le Mozart offers air-conditioned rooms with free WiFi. It is easily accessed from Motorway A8, a 3-minute drive away. ","43.52191762,5.45787156",43.52191762,5.45787156
4,Aix-en-Provence,Séjours & Affaires Aix-en-Provence Mirabeau,7.8,https://www.booking.com/hotel/fr/residence-mirabeau.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCFnNlYXJjaF9haXgtZW4tcHJvdmVuY2VICVgEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Av_d7LMGwAIB0gIkNjA5NDhjZDUtODU3Yy00ZmI4LTg3NGYtYjM4OTAzZDU4YWVh2AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=98f9933fcabd0312&srepoch=1719348992&from_sustainable_property_sr=1&from=searchresults,This Séjours & Affaires residence is located in Aix-en-Provence near the Cours Mirabeau. It offers furnished studios and free Wi-Fi internet access. ,"43.52524078,5.44126600",43.52524078,5.441266
5,"Avignon City Centre, Avignon","Au cœur des Papes, dans bâtisse de charme studios & appartements en cœur de ville",8.7,https://www.booking.com/hotel/fr/au-coeur-des-papes.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCDnNlYXJjaF9hdmlnbm9uSAlYBGhNiAEBmAEJuAEKyAEF2AEB6AEB-AEDiAIBqAIDuAKE3uyzBsACAdICJDdkNDE2YWZkLTA1MWItNGMyMy05NjY1LTIyZDgxN2RlZGNjZdgCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=297193427a2f048c&srepoch=1719348997&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Au cœur des Papes, dans bâtisse de charme studios & appartements en cœur de ville provides accommodation within 200 metres of the centre of Avignon, with free WiFi, and a kitchen with a dishwasher, a...","43.94617060,4.81018870",43.9461706,4.8101887
6,Avignon,Les petits poissons,9.3,https://www.booking.com/hotel/fr/les-petits-poissons.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCDnNlYXJjaF9hdmlnbm9uSAlYBGhNiAEBmAEJuAEKyAEF2AEB6AEB-AEDiAIBqAIDuAKE3uyzBsACAdICJDdkNDE2YWZkLTA1MWItNGMyMy05NjY1LTIyZDgxN2RlZGNjZdgCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=297193427a2f048c&srepoch=1719348997&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Offering a garden and garden view, Les petits poissons is situated in Avignon, 2.1 km from Avignon Central Station and 3.4 km from Papal Palace. ","43.93619550,4.82600075",43.9361955,4.82600075
7,"Avignon City Centre, Avignon","T2 Charme, intramuros, quartier des Teinturiers",,https://www.booking.com/hotel/fr/t2-charme-intramuros-quartier-des-teinturiers.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCDnNlYXJjaF9hdmlnbm9uSAlYBGhNiAEBmAEJuAEKyAEF2AEB6AEB-AEDiAIBqAIDuAKE3uyzBsACAdICJDdkNDE2YWZkLTA1MWItNGMyMy05NjY1LTIyZDgxN2RlZGNjZdgCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=297193427a2f048c&srepoch=1719348997&from=searchresults#hotelTmpl,"Situated in the centre of Avignon, just less than 1 km from Avignon Central Station and a 16-minute walk from Papal Palace, T2 Charme, intramuros, quartier des Teinturiers features accommodation with...","43.94479680,4.81553880",43.9447968,4.8155388
8,"Avignon City Centre, Avignon",Loft vue Palais des Papes,9.4,https://www.booking.com/hotel/fr/loft-vue-palais-des-papes.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCDnNlYXJjaF9hdmlnbm9uSAlYBGhNiAEBmAEJuAEKyAEF2AEB6AEB-AEDiAIBqAIDuAKE3uyzBsACAdICJDdkNDE2YWZkLTA1MWItNGMyMy05NjY1LTIyZDgxN2RlZGNjZdgCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=297193427a2f048c&srepoch=1719348997&from=searchresults#hotelTmpl,"In the Avignon City Centre district of Avignon, close to Avignon Central Station, Loft vue Palais des Papes has a garden and a washing machine. ","43.95130890,4.80919890",43.9513089,4.8091989
9,"Avignon City Centre, Avignon",Les Cachettes,8.8,https://www.booking.com/hotel/fr/nos-cachettes.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCDnNlYXJjaF9hdmlnbm9uSAlYBGhNiAEBmAEJuAEKyAEF2AEB6AEB-AEDiAIBqAIDuAKE3uyzBsACAdICJDdkNDE2YWZkLTA1MWItNGMyMy05NjY1LTIyZDgxN2RlZGNjZdgCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=297193427a2f048c&srepoch=1719348997&from=searchresults#hotelTmpl,"Located 300 metres from Papal Palace, Les Cachettes features free WiFi. All units come with a seating area, a flat-screen TV with satellite channels and a fully equipped kitchen. ","43.95098994,4.81063021",43.95098994,4.81063021
10,"Nimes City Centre, Nîmes",Best Western Marquis de la Baume,8.0,https://www.booking.com/hotel/fr/ha-tel-la-baume.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9uw65tZXNICVgEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4AoXe7LMGwAIB0gIkZjU2YmE4YmQtZTlmNS00NTJlLTlhYjgtZDBiMjhjMGVkNTJj2AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=4b4f93426b6404d0&srepoch=1719348998&from=searchresults#hotelTmpl,"Located in the centre of the historic town of Nîmes, Hôtel Marquis de la Baume is a 17th-century town house just 3.7 km from Parc Expo Nîmes and 650 metres from Nîmes Arena. Free WiFi is provided. ","43.83959476,4.36108410",43.83959476,4.3610841
11,Nîmes,Hotel Majestic,8.4,https://www.booking.com/hotel/fr/majestic-nimes.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9uw65tZXNICVgEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4AoXe7LMGwAIB0gIkZjU2YmE4YmQtZTlmNS00NTJlLTlhYjgtZDBiMjhjMGVkNTJj2AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=4b4f93426b6404d0&srepoch=1719348998&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Renovated in 2019, Hotel Majestic is located in Nîmes, just 320 metres from the Arenas of Nîmes and the town centre. ","43.83436329,4.36533675",43.83436329,4.36533675
12,Nîmes,Appart'City Collection Nîmes Arènes,8.6,https://www.booking.com/hotel/fr/appart-39-city-nimes.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9uw65tZXNICVgEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4AoXe7LMGwAIB0gIkZjU2YmE4YmQtZTlmNS00NTJlLTlhYjgtZDBiMjhjMGVkNTJj2AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=4b4f93426b6404d0&srepoch=1719348998&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,,"43.83387353,4.36143396",43.83387353,4.36143396
13,Nîmes,Odalys City Nîmes Arènes,8.8,https://www.booking.com/hotel/fr/odalys-city-nimes-arenes.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9uw65tZXNICVgEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4AoXe7LMGwAIB0gIkZjU2YmE4YmQtZTlmNS00NTJlLTlhYjgtZDBiMjhjMGVkNTJj2AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=4b4f93426b6404d0&srepoch=1719348998&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Set in Nîmes in the Languedoc-Roussillon region with Arenes de Nimes and Esplanade Charles-de-Gaulle nearby, Odalys City Nîmes Arènes provides accommodation with access to a hammam. ","43.83406187,4.35899065",43.83406187,4.35899065
14,"Nimes City Centre, Nîmes",Royal Hôtel,8.3,https://www.booking.com/hotel/fr/royal.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9uw65tZXNICVgEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4AoXe7LMGwAIB0gIkZjU2YmE4YmQtZTlmNS00NTJlLTlhYjgtZDBiMjhjMGVkNTJj2AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=4b4f93426b6404d0&srepoch=1719348998&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Set in the heart of Nîmes, Royal Hôtel features an on-site restaurant, La Bodéguita, which opens onto Assas Square. ","43.83881510,4.35481846",43.8388151,4.35481846
